US States	Bangladesh	China	India	Iran	Korea	Pakistan	Philippines	Taiwan	Vietnam	Others	Total
New Mexico	6.2	235.6	359.6	80.6	74.4	77.5	99.2	55.8	133.3	697.5	1819.7
New York	14864.5	27435	12452.7	1106.7	4491.9	12090	4619	1559.3	2002.6	92702.4	173324.1
North Carolina	139.5	985.8	1915.8	266.6	514.6	582.8	468.1	167.4	961	6175.2	12176.8
North Dakota	6.2	27.9	127.1	6.2	6.2	18.6	27.9	3.1	49.6	719.2	992
Ohio	148.8	1528.3	2790	356.5	468.1	437.1	685.1	368.9	815.3	9827	17425.1
Oklahoma	120.9	297.6	632.4	176.7	164.3	201.5	186	40.3	406.1	1292.7	3518.5
Oregon	27.9	1274.1	740.9	223.2	626.2	62	511.5	117.8	1131.5	4364.8	9079.9
Pennsylvania	508.4	2907.8	3493.7	399.9	1528.3	722.3	821.5	279	1816.6	12387.6	24865.1
Rhode Island	21.7	226.3	192.2	49.6	62	27.9	117.8	12.4	46.5	2380.8	3137.2
South Carolina	6.2	297.6	564.2	65.1	158.1	176.7	297.6	46.5	195.3	2101.8	3909.1
South Dakota	0	40.3	24.8	3.1	46.5	3.1	58.9	0	18.6	558	753.3
Tennessee	77.5	458.8	902.1	173.6	223.2	117.8	186	86.8	365.8	3171.3	5762.9
Texas	1587.2	3592.9	8255.3	1587.2	1215.2	3267.4	2638.1	1401.2	4885.6	17335.2	45765.3
Utah	15.5	372	313.1	263.5	120.9	89.9	223.2	77.5	412.3	3400.7	5288.6
Vermont	0	93	164.3	15.5	68.2	9.3	18.6	0	40.3	706.8	1116
Virginia	868	1621.3	2821	936.2	2151.4	2755.9	2855.1	322.4	2126.6	17608	34065.9
Washington	71.3	2613.3	1856.9	651	2439.7	368.9	3592.9	917.6	2914	13531.5	28957.1
West Virginia	3.1	71.3	201.5	31	31	34.1	62	12.4	6.2	421.6	874.2
Wisconsin	34.1	725.4	973.4	133.3	182.9	288.3	328.6	155	155	3971.1	6947.1
Wyoming	0	31	46.5	3.1	18.6	9.3	21.7	0	6.2	111.6	248
Guam	0	167.4	31	0	412.3	0	4671.7	37.2	27.9	303.8	5651.3
Northern Mariana Islands	0	31	3.1	0	9.3	0	235.6	0	0	37.2	316.2
Puerto Rico	6.2	111.6	3.1	0	0	3.1	3.1	3.1	3.1	713	846.3
U.S. Virgin Islands	0	15.5	37.2	0	0	0	18.6	0	0	1801.1	1872.4
											
Values are increased by 30% from the original dataset											
