 US States , Bangladesh , China , India , Iran , Korea , Pakistan , Philippines , Taiwan , Vietnam , Others , Total 
 Virginia , 224 , 418 , 728 , 242 , 555 , 711 , 737 , 83 , 549 ," 4,544 "," 8,791 "
 Washington , 18 , 674 , 479 , 168 , 630 , 95 , 927 , 237 , 752 ," 3,492 "," 7,473 "
 West Virginia , 1 , 18 , 52 , 8 , 8 , 9 , 16 , 3 , 2 , 109 , 226 
 Wisconsin , 9 , 187 , 251 , 34 , 47 , 74 , 85 , 40 , 40 ," 1,025 "," 1,793 "
 Wyoming ,0, 8 , 12 , 1 , 5 , 2 , 6 ,0, 2 , 29 , 64 
 Guam ,0, 43 , 8 ,0, 106 ,0," 1,206 ", 10 , 7 , 78 ," 1,458 "
 Northern Mariana Islands ,0, 8 , 1 ,0, 2 ,0, 61 ,0,0, 10 , 82 
 Puerto Rico , 2 , 29 , 1 ,0,0, 1 , 1 , 1 , 1 , 184 , 218 
 U.S. Virgin Islands ,0, 4 , 10 ,0,0,0, 5 ,0,0, 465 , 483 
" 											 ",,,,,,,,,,,
